Locality,pnt
"Grikou, Kea",POINT (24.3684964532 37.6215157574)
"Ioulida, Kea",POINT (24.3439609866 37.6383905831)
"Korissia, Kea",POINT (24.3123483152 37.6580148779)
"Orkos, Kea",POINT (24.3851075336 37.6102023124)
"Vourkari, Kea",POINT (24.3285006885 37.6658393768)
"Aris, Ario",POINT (22.0056930322 37.1002633878)
"Center, Arta",POINT (20.9888634715 39.1349063733)
"Chranoi, Epia",POINT (21.9217358282 36.9031563074)
"Ammoudara, Gazi",POINT (25.0793160062 35.3358269926)
"Fodele, Gazi",POINT (24.9582198297 35.3821870557)
"Ligaria, Gazi",POINT (25.0265358822 35.3983995551)
"Rodia, Gazi",POINT (25.020463638 35.3644160404)
"Center, Gazi",POINT (25.0136558659 35.3582495976)
"Kokkoni, Velo",POINT (22.7784067595 37.9690510419)
"Nerantza, Velo",POINT (22.7813009498 37.9842082108)
"Center, Agria",POINT (23.0399907157 39.370903194)
"Center, Argos",POINT (22.681879553 37.6137568939)
"Drepano, Asini",POINT (22.8922972662 37.5403274914)
"Iria, Asini",POINT (23.0108884492 37.487418869)
"Kantia, Asini",POINT (22.9616108786 37.5287297367)
"Tolo, Asini",POINT (22.8597353559 37.5211625051)
"Vivari, Asini",POINT (22.9169773541 37.537044569)
"Center, Asini",POINT (22.9819649474 37.5232193402)
"Kiveri, Lerna",POINT (22.7295361233 37.523592692)
"Miloi, Lerna",POINT (22.7168314284 37.5535101729)
"Alinda, Leros",POINT (26.8356282004 37.1626659327)
"Gourna, Leros",POINT (26.8207608102 37.157973106)
"Lakki, Leros",POINT (26.8546746693 37.1311874223)
"Plaka, Leros",POINT (26.1704330134 36.9009172412)
"Kardia, Mikra",POINT (22.9939798015 40.4697119945)
"Trilofo, Mikra",POINT (22.9698244878 40.4674680601)
"Eggares, Naxos",POINT (25.435342 37.116851)
"Glinado, Naxos",POINT (25.401696 37.071683)
"Kastraki, Naxos",POINT (25.390642 37.006048)
"Plaka, Naxos",POINT (25.37953 37.036235)
"Stelida, Naxos",POINT (25.343353 37.084112)
"Vivlos, Naxos",POINT (25.40798 37.05867)
"Center, Nemea",POINT (22.6513078993 37.828778716)
"Aliki, Paros",POINT (25.1368177969 36.9966911777)
"Drios, Paros",POINT (25.2237148467 37.0044982952)
"Glifa, Paros",POINT (25.2014070714 37.0022879802)
"Kalami, Paros",POINT (25.1640653803 37.1109357532)
"Kostos, Paros",POINT (25.2180664029 37.0775998188)
"Lefkes, Paros",POINT (25.2091177905 37.0567768489)
"Marathi, Paros",POINT (25.1997181647 37.0820054441)
"Molos, Paros",POINT (25.2652850681 37.0499125677)
"Naousa, Paros",POINT (25.2367937368 37.1242841733)
"Paroikia, Paros",POINT (25.1494217 37.0851731)
"Pounta, Paros",POINT (25.1015909305 37.0380498859)
"Gaios, Paxoi",POINT (20.1862320972 39.196920401)
"Filirou, Pefka",POINT (22.9768261 40.6594376)
"Center, Pefka",POINT (22.9884939355 40.6601424808)
"Gialova, Pilos",POINT (21.7019132249 36.9509666875)
"Glyfada, Pilos",POINT (21.7536367427 37.0020671328)
"Pila, Pilos",POINT (21.7340082439 36.9460708286)
"Pylaiotika, Pylea",POINT (22.975433 40.593949)
"Center, Pylea",POINT (22.9925151407 40.5882879891)
"Livadia, Tilos",POINT (27.3851021208 36.413604744)
"Plaka, Vamos",POINT (24.2109504696 35.452237763)
"Sellia, Vamos",POINT (24.2401686795 35.3948989853)
"Center, Vamos",POINT (24.2182854651 35.419056521)
"Analipsi, Volos",POINT (22.9518128253 39.3629137089)
"Anavros, Volos",POINT (22.9608331509 39.3542914082)
"Chiliadou, Volos",POINT (22.9501670323 39.3730458491)
"Neapoli, Volos",POINT (22.9235587292 39.3620629001)
"Oxigono, Volos",POINT (22.9451699338 39.3714367851)
"Palaia, Volos",POINT (22.9361159237 39.3630556317)
"Center, Volos",POINT (22.9328926601 39.3443376936)
"Afissos, Afetes",POINT (23.1649722326 39.2712173499)
"Plaka, Afetes",POINT (23.2350141231 39.3344946487)
"Kipseli, Arkadi",POINT (20.8237970157 37.8188768517)
"Tsilivi, Arkadi",POINT (20.8722374114 37.8105624916)
"Vanato, Arkadi",POINT (20.8513038063 37.7935013857)
"Aberia, Chania",POINT (24.0339653 35.511841)
"Bolari, Chania",POINT (24.028748 35.5132873)
"Chalepa, Chania",POINT (24.0370454825 35.5179340389)
"Nea Chora, Chania",POINT (24.0119292714 35.5154584288)
"Center, Chania",POINT (24.036817278 35.5117929885)
"Loutsa, Fanari",POINT (20.5312392982 39.196393561)
"Pigi, Gomfoi",POINT (21.6992834963 39.5111168757)
"Anopoli, Gouves",POINT (25.2579094076 35.303093214)
"Elia, Gouves",POINT (25.2317244401 35.3035088369)
"Center, Gouves",POINT (25.2793682405 35.3200583863)
"Hilton, Ilisia",POINT (23.7532108059 37.9770483055)
"Center, Iolkos",POINT (22.976927654 39.3772139356)
"Zakros, Itanos",POINT (26.2191522495 35.1126954875)
"Kioni, Ithaki",POINT (20.68958554 38.4484292811)
"Chilia, Kavala",POINT (24.393078 40.938609)
"DEPOS, Kavala",POINT (24.377598 40.92526)
"Kalamitsa, Kavala",POINT (24.384578 40.92269)
"Palio, Kavala",POINT (24.349301 40.905275)
"Perigiali, Kavala",POINT (24.426506 40.943991)
"Vyronas, Kavala",POINT (24.390589 40.934087)
"Center, Kavala",POINT (24.4630621522 40.979333437)
"Psirri, Kentro",POINT (23.7243430509 37.9784293533)
"Sintagma, Kentro",POINT (23.7364975289 37.9744709982)
"Asini, Koroni",POINT (21.9424074377 36.7941643231)
"Agia Marina, Koropi",POINT (23.843679 37.819955)
"Karelas, Koropi",POINT (23.8728456595 37.936874387)
"Center, Koropi",POINT (23.8731788956 37.9024873155)
"Center, Kosmas",POINT (22.7480628442 37.0941527322)
"A.T.A., Larisa",POINT (22.430088 39.641851)
"Averof, Larisa",POINT (22.429787 39.604134)
"Neraida, Larisa",POINT (22.4094169915 39.6271809148)
"Stathmos, Larisa",POINT (22.424372679 39.6313694907)
"Touba, Larisa",POINT (22.440752 39.62673)
"Volou, Larisa",POINT (22.4438415 39.6315804)
"Center, Larisa",POINT (22.405610607 39.6442236636)
"Koropi, Milies",POINT (23.1431323242 39.2932299456)
"Sikia, Molaoi",POINT (22.9429928441 36.7637718003)
"Center, Naousa",POINT (22.0039384597 40.6187327718)
"Neapoli, Nikaia",POINT (23.6344984214 37.9802380639)
"Center, Perama",POINT (23.5711867876 37.9666842017)
"Center, Pieria",POINT (22.25798695 40.2895262489)
"Alsos, Sikies",POINT (22.954277 40.649192)
"Drosia, Sikies",POINT (22.954429 40.644243)
"Kallithea, Sikies",POINT (22.9440957598 40.6491440674)
"Center, Sikies",POINT (22.9699541949 40.649394838)
"Paraspori, Siteia",POINT (26.0283403813 35.1657970241)
"Petras, Siteia",POINT (26.1155954683 35.1986158632)
"Center, Siteia",POINT (26.0437049528 35.1634099209)
"Center, Sivota",POINT (20.2871987251 39.4255594246)
"Kladas, Sparti",POINT (22.4312671241 37.1083711011)
"Center, Sparti",POINT (22.4229633499 37.0471876263)
"Center, Tavros",POINT (23.6946678313 37.9676189058)
"Thasos, Thasos",POINT (24.6530374086 40.6852519401)
"Potos, Thasos",POINT (24.6073941495 40.6104045426)
"Thasos, Thasos",POINT (24.758892 40.710052)
"Center, Thasos",POINT (24.6530859391 40.6851574332)
"Center, Thermi",POINT (23.0415766308 40.5309194669)
"Center, Toroni",POINT (23.9399664221 40.0454303676)
"Rachi, Veroia",POINT (22.2159603276 40.4845985599)
"Center, Veroia",POINT (22.1163727282 40.4840097672)
"Center, Vitina",POINT (22.1640028382 37.6741476269)
"Amiridio, Xanthi",POINT (24.8880035 41.1307162)
"Asa, Xanthi",POINT (24.8915593 41.1369955)
"Foros, Xanthi",POINT (24.8816623 41.127292)
"Panorama, Xanthi",POINT (24.8883339 41.1322595)
"Center, Xanthi",POINT (24.887914 41.138873)
"Center, Zagora",POINT (23.0688389434 39.4618642815)
"Center, Agrinio",POINT (21.3844113536 38.6392077235)
"Center, Almiros",POINT (22.759054 39.18197)
"Center, Assiros",POINT (23.0369107868 40.8374102632)
"Center, Astakos",POINT (21.1330203811 38.5711045104)
"Center, Epanomi",POINT (22.9457996554 40.4117503329)
"Center, Ermioni",POINT (23.3059759931 37.4296810883)
"Evosmo, Evosmos",POINT (22.9119626906 40.6671666007)
"Center, Evosmos",POINT (22.9229672 40.6713522)
"Center, Evosmos",POINT (22.9097311491 40.6783255898)
"Center, Farsala",POINT (22.3670819303 39.2689280975)
"Center, Florina",POINT (21.3722905571 40.7724811907)
"Center, Gerakas",POINT (23.8600820836 38.0139200929)
"Kosta, Kranidi",POINT (23.164380748 37.2957355052)
"Center, Messini",POINT (21.9687838251 37.0446907898)
"Foiniki, Methoni",POINT (21.7508049117 36.8168384622)
"Center, Mistras",POINT (22.3540639813 37.0773924571)
"Elia, Mykonos",POINT (25.3918235819 37.4223147166)
"Ornos, Mykonos",POINT (25.3265635936 37.4203967855)
"Aria, Nafplio",POINT (22.8323228691 37.5720825632)
"Center, Nafplio",POINT (22.8491421548 37.5702737795)
"Center, Paralia",POINT (22.575151277 40.2768572787)
"Center, Penteli",POINT (23.904296039 38.0532760229)
"Dioni, Pikermi",POINT (23.9322989693 38.0302308264)
"Ntrafi, Pikermi",POINT (23.9142748944 38.0244781601)
"Center, Preveza",POINT (20.7480983677 39.0040670901)
"Kiato, Sikiona",POINT (22.7473119247 38.0141054953)
"Center, Trikala",POINT (21.7620013625 39.5554292851)
"Elati, Aithikoi",POINT (21.5390783958 39.5023705668)
"Aroni, Akrotiri",POINT (24.1105043043 35.5160114344)
"Kounoupidiana, Akrotiri",POINT (24.076914478 35.5358654383)
"Malaki, Artemida",POINT (23.0695743541 39.3151499922)
"Dato, Filippoi",POINT (24.3213223367 40.9706118779)
"Center, Kalamata",POINT (22.1814026008 37.0727971729)
"Center, Katerini",POINT (22.5028132727 40.278833712)
"Center, Keramoti",POINT (24.7060316838 40.8921665757)
"Center, Lagkadas",POINT (23.0974954433 40.729644549)
"Katomeri, Meganisi",POINT (20.7883151456 38.6556606008)
"Center, Menemeni",POINT (22.8937872015 40.6534172175)
"Liti, Migdonia",POINT (22.9796674458 40.7461904336)
"Flogita, Moudania",POINT (23.220189695 40.2619376047)
"Koloniati, Mpizanio",POINT (20.8880430794 39.5788017085)
"Meteora, Polichni",POINT (22.9568487293 40.6612710493)
"Rest of Saronida, Saronida",POINT (23.9230898 37.7494972)
"Elia, Sithonia",POINT (23.7359807768 40.143821964)
"Nikiti, Sithonia",POINT (23.6688702744 40.2227239333)
"Agia Paraskevi, Vasilika",POINT (23.0483373025 40.4810185062)
"Sisi, Vrachasi",POINT (25.5207204 35.3085456)
"Amigdalokefali, Innachori",POINT (23.5648001027 35.3614375577)
"Aretsou, Kalamaria",POINT (22.9489553483 40.5779756557)
"Votsi, Kalamaria",POINT (22.9676409068 40.5867233613)
"Center, Kalamaria",POINT (22.9575418875 40.5788023509)
"Afitos, Kassandra",POINT (23.4358036228 40.0984334304)
"Sani, Kassandra",POINT (23.3139458154 40.0957899728)
"Siviri, Kassandra",POINT (23.3621755502 40.0367740761)
"Limani, Keratsini",POINT (23.6139601962 37.9577995854)
"Darmarochori, Kolimvari",POINT (23.7902728569 35.5142963851)
"Center, Kolimvari",POINT (23.7516827358 35.5580857553)
"Center, Korinthos",POINT (22.9116367211 37.897409331)
"Center, Litochoro",POINT (22.4786212067 40.1134548366)
"Center, Navpaktos",POINT (21.7922758451 38.4353029645)
"Xirokampi, Platanias",POINT (23.8560165238 35.4894351129)
"Center, Voukolies",POINT (23.7848030921 35.432993933)
"Center, Oreokastro",POINT (22.9109774892 40.7170102181)
"Arkoudi, Vartholomio",POINT (21.1098399997 37.8469594104)
"Akrotiri, Main town area",POINT (20.9011299308 37.8041220151)
"Main town - Chora, Main town area",POINT (20.8977127 37.7780418)
"Varkiza, Vari - Varkiza",POINT (23.7978331247 37.8180146761)
"Lagonisi, Kalivia Thorikou",POINT (23.8939987482 37.7932361367)
